,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
139,小康转债!,113016,2017-11-21,小康股份,601127,汽车,95.12,-0.25%,-0.59%,12.29,-3.61%,0.7,0.10%,17.2,2.36,-28.50%,71.45,33.10%,转股中,4.43年,2.43年,7.60%,5.40%,8.8,3.57%,3.09%,3.48%,3.25%,2.99%,91.09,89.64,6.36,96,-0.90%,40%,15%,16%,0.23,0.29,0.19,AA,5.00%,32
140,隆基转债!,113015,2017-11-20,隆基股份,601012,能源电力,129.8,0.95%,0.58%,23.83,1.79%,79,2.20%,18.76,4.05,27.00%,127.03,2.20%,转股中,4.42年,2.42年,3.20%,4.10%,27.9,-3.68%,-4.08%,-3.76%,-8.59%,-8.79%,92.04,91.13,42.78,133.9,-3.10%,49%,<2%,16%,0.85,1.43,0.32,AA+,4.50%,11
141,金禾转债!,128017,2017-11-27,金禾实业,2597,石油天然气化工,107.51,-0.62%,1.07%,18.5,1.20%,1.7,0.30%,22.96,2.62,-19.40%,80.57,33.40%,转股中,4.42年,2.42年,5.80%,4.70%,6,0.59%,0.16%,0.50%,-1.64%,-1.86%,90.93,89.27,11.13,100.4,7.10%,36%,31%,17%,0.38,-1.16,1.97,AA,5.00%,15
142,林洋转债!,113014,2017-11-13,林洋能源,601222,能源电力,97.28,0.31%,-0.28%,4.56,1.11%,2.4,0.10%,8.76,0.85,-47.90%,52.05,86.90%,转股中,4.41年,2.41年,37.30%,19.40%,30,3.06%,2.58%,2.96%,2.38%,2.12%,91.21,89.76,2.29,92.06,5.70%,83%,36%,16%,0.03,-1.07,1.13,AA,5.00%,23
143,雨虹转债!,128016,2017-10-20,东方雨虹,2271,建筑,106.899,-0.56%,0.11%,19.19,-1.03%,8.1,0.40%,22.33,3.75,-14.10%,85.94,24.40%,转股中,4.32年,2.32年,6.40%,5.50%,18.4,0.74%,0.29%,0.65%,-1.48%,-1.71%,92.46,91.54,11.71,103.25,3.50%,51%,23%,16%,0.43,-0.4,1.27,AA+,4.50%,15
144,国君转债!,113013,2017-07-24,国泰君安,601211,金融,112.79,0.34%,-0.71%,16.07,-1.05%,7.2,0.10%,19.67,1.2,-18.30%,81.7,38.10%,转股中,4年36天,无权,4.90%,4.00%,70,-0.67%,-1.11%,-0.76%,无权,无权,无权,93.83,8.71,102.53,10.00%,27%,30%,17%,0.36,-1.55,2.38,AAA,4.00%,21
145,久其转债!,128015,2017-07-18,久其软件,2279,计算机及应用,96.23,-0.28%,0.09%,7.13,-0.70%,5,0.70%,9.48,5.55,-24.80%,75.21,27.90%,转股中,4年7天,2年7天,15.40%,11.60%,7.8,4.00%,3.40%,3.88%,3.21%,2.92%,92.72,92.68,6.66,99.34,-3.10%,70%,13%,17%,0.27,0.75,-0.16,AA,5.00%,54
146,模塑转债!,127004,2017-08-16,模塑科技,700,汽车,93.817,-0.06%,0.02%,3.79,-1.56%,11,1.50%,7.72,1.4,-50.90%,49.09,91.10%,转股中,4年1.3天,2年1.3天,26.20%,12.80%,8.2,5.35%,4.62%,5.20%,4.69%,4.35%,93.22,95.04,0.44,95.47,-1.70%,52%,<2%,17%,0.02,0.35,-0.28,AA,5.00%,87
147,永东转债!,128014,2017-07-18,永东股份,2753,石油天然气化工,96.8,-0.13%,-0.02%,9.08,-0.87%,0.5,0.10%,13.53,2.14,-32.90%,67.11,44.20%,转股中,3.88年,1.88年,11.10%,7.50%,3.4,3.98%,3.36%,3.85%,3.00%,2.72%,91.32,89.96,4.83,94.79,2.10%,54%,23%,17%,0.16,-0.38,0.71,AA-,6.00%,56
148,骆驼转债!,113012,2017-07-18,骆驼股份,601311,汽车,103.28,-0.61%,-0.29%,12.02,-1.88%,1.2,0.20%,13.44,1.74,-10.60%,89.43,15.50%,转股中,3.81年,1.81年,4.90%,4.40%,5.1,1.40%,0.96%,1.31%,-0.36%,-0.61%,93.16,90.63,13.64,104.27,-1.00%,36%,15%,16%,0.48,0.49,0.48,AA,5.00%,22
149,光大转债,113011,2017-07-18,光大银行,601818,金融,107.48,-0.27%,-0.26%,3.84,-1.03%,199,0.60%,4.13,0.68,-7.00%,92.98,15.60%,转股中,3.80年,无权,14.90%,13.80%,300,0.45%,-0.01%,0.36%,无权,无权,无权,94.46,13.16,107.62,-0.10%,19%,17%,16%,0.51,0.47,0.55,AAA,4.00%,28
150,洪涛转债!,128013,2016-08-23,洪涛股份,2325,建筑,97,-0.03%,0.03%,3.19,-0.31%,1.5,0.10%,9.98,1.27,-68.00%,31.96,203%,转股中,3年58天,1年58天,30.10%,9.60%,12,4.85%,4.09%,4.70%,4.51%,4.07%,96.41,96.59,0.41,97,0.00%,35%,35%,16%,0,0,0,AA,5.00%,75
151,海印转债!,127003,2016-07-01,海印股份,861,商业零售,101.621,0.12%,0.29%,2.67,1.14%,3.8,0.30%,3.03,1.8,-11.90%,88.12,15.30%,转股中,3年7天,1年7天,19.10%,16.80%,11.1,4.06%,3.16%,3.88%,0.99%,0.52%,97.07,98.97,8.08,107.05,-5.10%,25%,8%,16%,0.36,1.29,-0.48,AA,5.00%,100
152,辉丰转债!,128012,2016-05-17,辉丰股份,2496,石油天然气化工,97.14,-0.02%,0.02%,3.14,-2.18%,1.3,0.20%,7.71,1.49,-59.30%,40.73,139%,转股中,2.89年,0.89年,17.80%,7.30%,8.4,2.97%,2.58%,2.89%,6.97%,6.13%,96.63,85.92,11.63,97.55,-0.40%,86%,<2%,17%,0,0.08,-0.08,A+,7.50%,79
153,顺昌转债!,128010,2016-02-23,澳洋顺昌,2245,交通运输,100.72,0.00%,0.00%,4.7,-1.05%,1.2,0.20%,9.26,2.31,-49.20%,50.76,98.40%,转股中,2.64年,0.64年,11.10%,5.60%,5.1,3.88%,3.06%,3.71%,1.41%,0.95%,97.92,97.94,0.58,98.52,2.20%,43%,39%,17%,0,-0.44,0.43,AA,5.00%,23
154,广汽转债!,113009,2016-02-04,广汽集团,601238,汽车,105.48,-0.46%,0.39%,10.83,-0.64%,8.9,0.30%,14.74,1.4,-26.50%,73.47,43.60%,转股中,2.64年,0.64年,2.30%,1.70%,25.5,1.27%,0.62%,1.14%,-4.35%,-4.76%,98.57,98.41,1.67,100.09,5.40%,35%,31%,15%,0.11,-0.91,1.13,AAA,4.00%,9
155,九州转债!,110034,2016-01-29,九州通,600998,医药,102.64,-0.35%,0.37%,13.05,0.69%,9.1,0.60%,18.42,1.57,-29.20%,70.85,44.90%,转股中,2.63年,0.63年,6.10%,4.30%,15,2.84%,2.09%,2.69%,1.43%,0.49%,100.25,98.47,2.12,100.58,2.00%,26%,26%,15%,0.02,-0.34,0.38,AA+,4.50%,15
156,国贸转债!,110033,2016-01-19,厦门国贸,600755,交通运输,110.6,0.36%,0.02%,8.29,0.85%,3,0.20%,8.61,1.17,-3.70%,96.28,14.90%,转股中,2.60年,0.60年,9.70%,9.30%,14.6,0.18%,-0.61%,0.02%,-10.90%,-11.30%,98.69,100.49,9.06,109.55,1.00%,34%,18%,15%,0.44,0.23,0.66,AAA,4.00%,13
157,蓝标转债!,123001,2016-01-18,蓝色光标,300058,传媒娱乐,106.94,0.04%,0.33%,4.18,0.72%,1.4,0.80%,4.31,1.28,-3.00%,96.98,10.30%,转股中,2.55年,0.55年,1.60%,1.50%,1.6,1.61%,0.78%,1.44%,-6.67%,-7.13%,98.32,98.49,12.24,110.73,-3.40%,40%,13%,17%,0.5,1.08,-0.02,AA,5.00%,41
158,航信转债!,110031,2015-06-30,航天信息,600271,计算机及应用,109.24,0.21%,-0.21%,22.95,-0.22%,8.6,0.30%,42.38,3.82,-45.80%,54.15,102%,转股中,2年11天,11天,5.60%,3.00%,24,0.35%,-0.57%,0.17%,-38.20%,-39.90%,100.97,101.73,0.04,101.77,7.30%,53%,53%,17%,0,-1.36,1.4,AAA,4.00%,10
159,电气转债!,113008,2015-02-16,上海电气,601727,能源电力,112.88,-1.02%,1.50%,5.32,0.95%,50,1.00%,5.19,1.35,2.50%,102.5,10.10%,转股中,1.67年,回售中,5.60%,5.70%,44.7,-2.57%,-3.44%,-2.74%,回售中,回售中,103,102.09,9.38,111.47,1.30%,49%,24%,16%,0.51,0.31,0.72,AAA,3.50%,18
160,格力转债!!,110030,2015-01-13,格力地产,600185,地产,104.65,-0.17%,0.17%,4.56,1.33%,5.1,1.10%,6.94,1.19,-34.30%,65.71,59.30%,转股中,0.57年,回售中,4.50%,3.00%,4.3,2.28%,0.25%,1.88%,回售中,回售中,103,103.66,0,103.66,1.00%,70%,55%,16%,0,-0.19,0.18,AA,4.00%,9
