,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,CP/B,股价/转股价,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
49,溢利转债,123018,2019-01-23,溢多利,300381,医药,111.863,1.12%,-0.26%,9.72,1.04%,4.6,0.60%,8.41,1.69,15.60%,115.58,-3.20%,41天,5.60年,3.60年,16.80%,19.40%,6.7,0.55%,0.06%,0.45%,-1.99%,-2.17%,89.62,92.87,33.44,126.3,-11.40%,77%,<2%,17%,0.83,2.92,-0.98,AA-,4.00%,45
50,佳都转债!,110050,2019-01-21,佳都科技,600728,计算机及应用,126.8,2.52%,-0.86%,10.35,1.87%,29,2.60%,7.95,3.11,30.20%,130.19,-2.60%,40天,5.60年,3.60年,5.20%,6.80%,8.8,-1.87%,-2.31%,-1.96%,-5.23%,-5.40%,90.4,93.24,44.91,138.15,-8.20%,42%,<2%,16%,0.89,2.45,-0.49,AA,3.80%,27
51,海尔转债,110049,2019-01-18,青岛海尔,600690,家电,119.71,1.10%,1.18%,16.27,3.04%,170,4.70%,14.55,2.31,11.80%,111.82,7.10%,40天,5.59年,3.59年,2.90%,3.20%,30.1,-1.53%,-1.85%,-1.59%,-3.82%,-3.99%,90.62,90.45,31.17,121.61,-1.60%,32%,16%,16%,0.75,1,0.52,AAA,3.60%,29
52,台华转债,113525,2019-01-11,台华新材,603055,服装纺织,111.91,4.39%,2.74%,11.72,10.10%,6.2,1.10%,11.56,2.48,1.40%,101.38,10.40%,36天,5.59年,3.59年,8.30%,8.40%,5.3,0.55%,0.05%,0.45%,-2.00%,-2.19%,88.99,91.89,23.13,115.02,-2.70%,46%,17%,17%,0.71,0.7,0.73,AA,4.20%,9
53,奇精转债,113524,2019-01-07,奇精机械,603677,家电,102.53,1.40%,-1.15%,13.22,0.46%,6.1,1.80%,14.76,2.94,-10.40%,89.57,14.50%,35天,5.58年,3.58年,12.70%,11.40%,3.3,2.65%,2.05%,2.53%,0.33%,0.13%,87.84,92.46,15.72,108.18,-5.20%,60%,11%,18%,0.56,1.03,0.13,AA,4.60%,46
54,光华转债!,128051,2019-01-09,光华科技,2741,汽车,100.01,0.52%,0.27%,13.32,1.68%,2.6,1.00%,17.03,5.22,-21.80%,78.21,27.90%,35天,5.58年,3.58年,5.00%,3.90%,2.5,2.75%,2.22%,2.65%,1.15%,0.92%,86.8,88.46,10.32,98.79,1.20%,37%,20%,17%,0.47,-0.49,1.44,AA-,5.10%,22
55,钧达转债,128050,2018-12-27,钧达股份,2865,汽车,107.452,1.38%,-0.86%,23.01,0.74%,32,9.40%,21.74,3.17,5.80%,105.84,1.50%,29天,5.57年,3.57年,11.40%,12.10%,3.2,2.68%,1.93%,2.53%,-0.77%,-1.00%,89.04,98.05,24.01,122.05,-12.00%,66%,<2%,18%,0.69,2.72,-1.06,AA-,4.40%,78
56,伟明转债!,113523,2018-12-26,伟明环保,603568,城市公用设施,111.8,0.90%,-0.48%,25.21,0.56%,1.8,0.20%,23.92,5.22,5.40%,105.39,6.10%,29天,5.57年,3.57年,3.90%,4.10%,6.7,0.57%,0.07%,0.47%,-1.99%,-2.18%,89.38,92.45,24.94,117.39,-4.80%,43%,9%,16%,0.75,1.23,0.31,AA,4.10%,22
57,福能转债,110048,2018-12-28,福能股份,600483,能源电力,112.31,1.12%,-0.67%,8.26,0.73%,12,0.40%,8.69,1.18,-4.90%,95.05,18.20%,29天,5.56年,3.56年,22.10%,21.00%,28.3,0.32%,-0.14%,0.23%,-2.11%,-2.30%,89.54,91.87,17.92,109.79,2.30%,29%,20%,16%,0.61,-0.2,1.42,AA+,4.10%,12
58,华源转债,128049,2018-12-20,华源控股,2787,造纸包装印刷,106.5,1.18%,0.44%,7.72,2.25%,8.1,1.90%,7.57,1.58,2.00%,101.98,4.40%,18天,5.54年,3.54年,16.70%,17.00%,4,1.54%,1.02%,1.44%,-0.64%,-0.85%,89.06,91.92,24.52,116.44,-8.50%,75%,7%,18%,0.72,1.92,-0.35,AA-,4.30%,58
59,旭升转债,113522,2018-12-11,旭升股份,603305,汽车,104.48,0.68%,0.07%,24.08,1.78%,1,0.20%,29.86,8.27,-19.40%,80.64,29.60%,12天,5.52年,3.52年,4.40%,3.50%,4.2,2.63%,1.98%,2.50%,-0.18%,-0.38%,87.07,92.68,9.18,101.86,2.60%,63%,21%,16%,0.43,-0.69,1.56,AA,4.90%,22
60,山鹰转债,110047,2018-12-10,山鹰纸业,600567,造纸包装印刷,110.13,0.88%,0.91%,3.56,2.59%,68,2.70%,3.34,1.15,6.60%,106.59,3.30%,11天,5.52年,3.52年,14.10%,15.00%,23,1.36%,0.77%,1.24%,-1.60%,-1.80%,90.11,96.02,23.75,119.77,-8.00%,30%,6%,16%,0.69,2.14,-0.58,AA+,4.00%,68
61,寒锐转债,123017,2018-12-24,寒锐钴业,300618,有色金属,103.5,0.49%,0.14%,66.19,1.21%,5.2,1.20%,81.49,9.27,-18.80%,81.22,27.40%,10天,5.52年,3.52年,3.50%,2.80%,4.4,1.32%,0.94%,1.24%,0.03%,-0.16%,86.82,85.5,12.53,98.03,5.60%,77%,25%,16%,0.51,-1.19,2.29,AA-,5.00%,41
