,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
51,溢利转债,123018,2019-01-23,溢多利,300381,医药,109.648,0.06%,-1.05%,9.5,-1.25%,2.1,0.30%,8.41,1.91,13.00%,112.96,-2.90%,29天,5.57年,3.57年,17.20%,19.40%,6.7,0.92%,0.43%,0.82%,-1.47%,-1.66%,83.7,83.9,40.28,124.18,-11.70%,77%,<2%,17%,0.79,3.03,-1.12,AA-,6.00%,43
52,佳都转债!,110050,2019-01-21,佳都科技,600728,计算机及应用,124.64,2.00%,1.41%,10.3,3.94%,40,3.70%,7.89,4.03,30.50%,130.54,-4.50%,28天,5.56年,3.56年,5.20%,6.90%,8.8,-1.57%,-2.02%,-1.66%,-4.83%,-5.01%,86.69,87.6,50.95,138.55,-10.00%,42%,<2%,16%,0.86,2.99,-0.97,AA,5.00%,27
53,海尔转债,110049,2019-01-18,青岛海尔,600690,家电,117.8,-0.28%,0.42%,16.15,0.19%,18,0.50%,14.55,2.56,11.00%,111,6.10%,28天,5.56年,3.56年,2.90%,3.20%,30.1,-1.24%,-1.57%,-1.31%,-3.44%,-3.61%,89.53,88.79,32.16,120.95,-2.60%,32%,14%,16%,0.74,1.21,0.32,AAA,4.00%,24
54,台华转债,113525,2019-01-11,台华新材,603055,服装纺织,104.58,-0.40%,1.77%,10.64,2.41%,1.5,0.30%,11.56,2.28,-8.00%,92.04,13.60%,24天,5.56年,3.56年,9.10%,8.40%,5.3,1.81%,1.30%,1.70%,-0.20%,-0.40%,86.71,88.38,20.57,108.95,-4.00%,47%,15%,17%,0.57,1.03,0.15,AA,5.00%,8
55,奇精转债,113524,2019-01-07,奇精机械,603677,家电,99.26,0.02%,0.97%,12.65,2.18%,3.6,1.10%,14.76,2.52,-14.30%,85.7,15.80%,23天,5.55年,3.55年,13.50%,11.50%,3.3,3.27%,2.67%,3.15%,1.22%,1.02%,86.75,90.71,16.24,106.95,-7.20%,60%,11%,18%,0.45,1.65,-0.61,AA,5.00%,50
56,光华转债!,128051,2019-01-09,光华科技,2741,汽车,97.5,0.52%,0.73%,12.26,3.46%,6,2.50%,17.03,3.76,-28.00%,71.99,35.40%,23天,5.55年,3.55年,5.40%,3.90%,2.5,3.25%,2.71%,3.14%,1.86%,1.63%,84.24,84.57,11.4,95.96,1.60%,37%,22%,17%,0.36,-0.5,1.23,AA-,6.00%,20
57,钧达转债,128050,2018-12-27,钧达股份,2865,汽车,102.258,0.51%,0.65%,19.71,2.23%,2.3,0.70%,21.74,2.87,-9.30%,90.66,12.80%,17天,5.54年,3.54年,13.30%,12.10%,3.2,3.64%,2.87%,3.48%,0.58%,0.34%,84.41,90.53,21.1,111.63,-8.40%,66%,9%,18%,0.52,1.72,-0.55,AA-,6.00%,78
58,伟明转债!,113523,2018-12-26,伟明环保,603568,城市公用设施,111.68,1.71%,1.39%,19.54,4.10%,8.8,1.20%,17.47,4.27,11.80%,111.85,-0.20%,17天,5.54年,3.54年,3.70%,4.10%,6.7,0.59%,0.09%,0.49%,-1.97%,-2.17%,86.8,88.47,34.34,122.8,-9.10%,47%,<2%,16%,0.76,2.53,-0.79,AA,5.00%,21
59,福能转债,110048,2018-12-28,福能股份,600483,能源电力,110.15,0.00%,0.77%,8.05,1.39%,0.8,0.00%,8.69,1.09,-7.40%,92.64,18.90%,17天,5.53年,3.53年,22.70%,21.00%,28.3,0.68%,0.21%,0.59%,-1.61%,-1.80%,88.36,90.03,18.62,108.65,1.40%,29%,20%,16%,0.56,0.03,1.08,AA+,4.50%,9
60,华源转债,128049,2018-12-20,华源控股,2787,造纸包装印刷,104.594,0.44%,0.84%,7.44,1.92%,1.2,0.30%,7.57,1.56,-1.70%,98.28,6.40%,6.3天,5.50年,3.50年,17.30%,17.00%,4,1.89%,1.37%,1.79%,-0.15%,-0.36%,84.22,84.55,29.17,113.72,-8.00%,74%,9%,18%,0.66,1.86,-0.4,AA-,6.00%,60
